Player,I,O,R,W,Econ,Avg,SR,4W,5W,BBI,4s,6s,Dots
A Ashok,10,37,240,14,6.49,17.14,15.86,0,0,03-Aug,14,8,87
A Lyth,23,57.1,453,19,7.92,23.84,18.05,0,1,May-31,35,17,125
A Mishra,18,64,451,20,7.05,22.55,19.2,1,0,Apr-24,24,16,125
A Nortje,37,140,"1,144",49,8.17,23.35,17.14,0,0,Mar-31,113,40,352
A Verma,23,81.2,652,31,8.02,21.03,15.74,0,0,Mar-14,52,21,178
A Zampa,58,217.1,"1,623",74,7.47,21.93,17.61,0,1,May-17,106,62,441
Aamer Yamin,20,56.1,499,12,8.88,41.58,28.08,0,0,Mar-37,43,21,128
AAP Atkinson,19,52.4,468,25,8.89,18.72,12.64,2,0,Apr-36,48,16,124
Abhishek Sharma,21,37.2,277,12,7.42,23.08,18.67,0,0,03-Oct,15,10,72
Abu Hider,22,57.5,540,9,9.34,60,38.56,0,0,Mar-19,52,23,130
Abu Jayed,29,89.1,768,28,8.61,27.43,19.11,0,0,Mar-25,66,30,202
AC Agar,31,111,831,29,7.49,28.66,22.97,0,0,Feb-16,46,35,213
AD Russell,107,304.5,"2,792",117,9.16,23.86,15.63,3,1,May-15,260,126,689
AF Milne,42,144,"1,049",45,7.28,23.31,19.2,1,0,Apr-38,105,29,400
Afif Hossain,25,44,408,9,9.27,45.33,29.33,0,0,Feb-40,31,22,83
AG Salter,31,108,895,36,8.29,24.86,18,3,0,04-Dec,74,27,165
Ahmed Daniyal,13,45,421,9,9.36,46.78,30,0,0,Feb-29,34,19,89
AJ Hosein,21,76,409,23,5.38,17.78,19.83,0,0,Mar-14,32,14,251
AJ Nair,18,43,341,13,7.93,26.23,19.85,0,0,03-Dec,23,14,74
AJ Tye,71,251.5,"2,097",98,8.33,21.4,15.42,2,1,May-38,210,62,580
AK Kitchen,34,103,790,21,7.67,37.62,29.43,1,0,04-Nov,55,29,219
Akash Deep,10,36.5,344,11,9.34,31.27,20.09,1,0,Apr-35,31,18,95
Akif Javed,10,34,285,10,8.38,28.5,20.4,0,0,Mar-43,27,12,83
AL Hughes,25,81,613,18,7.57,34.06,27,0,0,Mar-13,43,15,132
Al-Amin Hossain,31,104.5,946,27,9.02,35.04,23.3,0,0,Mar-14,90,38,218
Ali Khan,34,106.3,945,37,8.87,25.54,17.27,1,0,04-Jun,82,47,282
Alok Kapali,24,58.4,460,21,7.84,21.9,16.76,1,0,Apr-22,18,23,96
AM Ellis,15,47,454,16,9.66,28.38,17.62,0,0,Mar-35,26,21,70
AM Hardie,21,54,475,15,8.8,31.67,21.6,0,0,Mar-31,41,15,102
AM Lilley,25,50.5,430,10,8.46,43,30.5,0,0,Mar-26,29,13,90
Amad Butt,12,43.1,422,12,9.78,35.17,21.58,1,0,Apr-27,34,20,77
Anwar Ali,18,45.1,458,13,10.14,35.23,20.85,0,0,Mar-37,43,23,77
AP Devcich,15,39,358,8,9.18,44.75,29.25,0,0,01-Sep,28,18,76
AR Nurse,15,38.2,267,8,6.97,33.38,28.75,0,0,Feb-14,18,11,94
AR Patel,54,191,"1,318",40,6.9,32.95,28.65,0,0,Mar-21,79,52,395
Arafat Sunny,31,98.3,739,28,7.5,26.39,21.11,0,0,03-Aug,61,32,236
Arshad Iqbal,17,57.2,492,19,8.58,25.89,18.11,0,0,Mar-16,40,21,111
Arshdeep Singh,43,147.4,"1,216",43,8.23,28.28,20.6,0,1,May-32,118,32,334
AS Joseph,38,131.2,"1,105",39,8.41,28.33,20.21,0,1,06-Dec,103,54,375
ASS Nijjar,33,111.3,885,28,7.94,31.61,23.89,0,0,Mar-22,57,42,236
AT Thomson,17,46.5,377,10,8.05,37.7,28.1,0,0,Mar-23,33,12,94
AU Rashid,21,70.3,575,24,8.16,23.96,17.62,0,0,Mar-13,37,25,138
Avesh Khan,34,127.4,"1,000",55,7.83,18.18,13.93,2,1,May-17,112,29,334
AY Patel,34,121.1,"1,030",36,8.5,28.61,20.19,0,0,Mar-20,85,45,256
Azmatullah Omarzai,9,33.4,236,8,7.01,29.5,25.25,0,0,Mar-20,29,5,90
B Doggett,22,66.4,533,22,8,24.23,18.18,1,0,Apr-22,50,14,151
B Kumar,44,167.2,"1,278",34,7.64,37.59,29.53,0,0,Mar-22,126,41,452
B Laughlin,36,123.2,"1,081",33,8.76,32.76,22.42,0,0,03-Dec,86,43,239
B Muzarabani,13,42.4,349,16,8.18,21.81,16,0,0,Mar-18,33,16,118
B Stanlake,30,96.5,840,23,8.67,36.52,25.26,0,0,Mar-25,84,30,229
BA Carse,42,124.1,"1,085",24,8.74,45.21,31.04,0,0,Mar-30,106,39,295
BA Raine,34,92.3,792,28,8.56,28.29,19.82,0,0,Mar-15,60,24,170
BA Stokes,20,53.3,533,17,9.96,31.35,18.88,1,0,Apr-27,47,23,109
BAC Howell,63,219.3,"1,608",61,7.33,26.36,21.59,1,1,May-18,98,58,404
BAD Manenti,19,59,428,14,7.25,30.57,25.29,0,0,Feb-21,28,14,112
Basil Thampi,12,43.1,410,6,9.5,68.33,43.17,0,0,Mar-35,34,23,93
BC Cullen,21,68.1,657,34,9.64,19.32,12.03,2,0,Apr-32,58,34,157
BC Fortuin,10,37,238,8,6.43,29.75,27.75,0,0,Feb-13,16,4,72
BCJ Cutting,61,146.2,"1,335",42,9.12,31.79,20.9,0,0,Mar-31,100,45,218
BD Glover,13,33.2,328,11,9.84,29.82,18.18,0,0,Feb-32,30,9,65
BG Lister,24,79.4,651,21,8.17,31,22.76,0,0,Mar-21,57,19,199
BG Randell,10,34,318,13,9.35,24.46,15.69,0,0,Mar-29,35,8,64
BGF Green,20,57,521,20,9.14,26.05,17.1,1,1,May-29,24,29,90
BJ Dwarshuis,65,229.3,"1,933",83,8.42,23.29,16.59,2,1,May-26,179,76,564
BL Couch,14,43,353,16,8.21,22.06,16.12,0,0,Mar-30,30,6,87
BL D'Oliveira,29,76,581,17,7.64,34.18,26.82,0,0,Mar-15,33,20,117
BM Tickner,35,130.4,"1,128",49,8.63,23.02,16,1,0,Apr-26,97,59,322
BM Wheeler,18,70.3,618,18,8.77,34.33,23.5,1,0,Apr-26,67,19,154
BP Coburn,11,34,290,9,8.53,32.22,22.67,1,0,Apr-17,17,16,57
BTJ Wheal,22,75.1,607,39,8.08,15.56,11.56,1,1,May-38,62,20,174
BV Sears,21,63.1,490,27,7.76,18.15,14.04,1,0,Apr-16,45,23,178
BW Sanderson,36,116.2,998,41,8.58,24.34,17.02,1,0,Apr-28,102,27,254
BWM Mike,29,65.4,644,23,9.81,28,17.13,1,0,Apr-22,54,28,138
C Overton,32,101.4,848,35,8.34,24.23,17.43,0,0,Mar-28,89,35,255
C Sakariya,22,83,605,27,7.29,22.41,18.44,0,1,05-Nov,50,16,202
CA Rose,23,61.5,531,10,8.59,53.1,37.1,0,0,Feb-16,41,23,123
CAJ Morris,27,84.5,817,28,9.63,29.18,18.18,0,0,Mar-21,85,33,164
CD Hinchliffe,22,49,411,15,8.39,27.4,19.6,0,0,Mar-19,26,14,73
CE McConchie,39,128,952,26,7.44,36.62,29.54,0,0,Mar-28,71,30,243
CF Parkinson,46,173.4,"1,290",54,7.43,23.89,19.3,1,0,Apr-35,108,41,360
CG Harrison,26,70.2,548,26,7.79,21.08,16.23,2,0,Apr-17,33,19,110
CH Morris,65,237.4,"1,950",83,8.2,23.49,17.18,2,0,Apr-23,192,65,562
CJ Boyce,31,117.1,804,39,6.86,20.62,18.03,1,1,May-21,29,28,204
CJ Green,109,352.4,"2,590",93,7.34,27.85,22.75,2,1,May-32,176,93,787
CJ Jordan,102,348.5,"3,052",109,8.75,28,19.2,1,0,Apr-31,298,87,694
CN Ackermann,36,103.5,775,33,7.46,23.48,18.88,0,1,Jul-18,70,20,216
CN Miles,24,77.2,654,26,8.46,25.15,17.85,0,0,Mar-19,58,24,170
CP Tremain,20,60.5,490,14,8.05,35,26.07,0,0,03-Sep,45,15,144
CP Wood,45,162.5,"1,273",47,7.82,27.09,20.79,0,0,Mar-16,116,42,393
CR Brathwaite,84,248.2,"2,182",79,8.79,27.62,18.86,1,0,Apr-18,205,77,515
CS Delport,34,79.2,694,20,8.75,34.7,23.8,0,0,Mar-25,44,23,112
CV Varun,42,162,"1,172",42,7.23,27.9,23.14,0,1,May-20,77,46,359
D Klein,15,41,375,7,9.15,53.57,35.14,0,0,Jan-22,40,15,109
D Lakshan,12,39,347,19,8.9,18.26,12.32,0,0,Mar-36,27,18,88
D Moriarty,25,85,581,28,6.84,20.75,18.21,0,0,Mar-25,42,14,181
D Olivier,22,71.1,707,28,9.93,25.25,15.25,1,0,Apr-44,76,32,162
D Pretorius,21,52.1,451,15,8.65,30.07,20.87,0,0,Mar-17,29,18,96
D Wiese,85,226,"1,970",71,8.72,27.75,19.1,0,2,May-25,143,81,393
DA Douthwaite,31,88.4,755,27,8.52,27.96,19.7,0,0,Mar-28,73,23,187
