Player,I,R,B,Outs,Avg,SR,HS,4s,6s,50,100,Balls Per Innings,Aggavgstr
KL Rahul,55,"2,503","1,862",45,55.62,134.43,130,200,108,21,4,36.86,190.05
DP Conway,47,"1,930","1,399",35,55.14,137.96,105,219,43,16,2,33.85,193.1
Mohammad Rizwan,35,"1,313","1,034",26,50.5,126.98,83,122,29,13,0,33.63,177.48
Babar Azam,62,"2,497","1,923",53,47.11,129.85,114,268,42,21,2,33.12,176.96
Tamim Iqbal,47,"1,677","1,367",40,41.92,122.68,141,171,56,11,2,31.12,164.6
DA Warner,55,"2,085","1,523",46,45.33,136.9,100,194,61,22,1,29.86,182.23
SR Hain,42,"1,457","1,072",30,48.57,135.91,112,123,37,12,1,29.61,184.48
RL Chase,21,671,513,15,44.73,130.8,85,50,30,6,0,28.34,175.53
D Foxcroft,17,526,408,12,43.83,128.92,82,49,17,5,0,28.00,172.75
RD Gaikwad,39,"1,382","1,044",35,39.49,132.38,101,135,47,12,1,27.99,171.87
JJS Sangha,18,548,448,14,39.14,122.32,91,43,14,4,0,27.73,161.46
JW Wells,55,"1,580","1,266",37,42.7,124.8,73,124,30,11,0,27.50,167.5
AZ Lees,17,489,410,13,37.62,119.27,77,36,10,4,0,27.09,156.89
S Dhawan,67,"2,279","1,730",60,37.98,131.73,106,251,55,16,2,27.03,169.71
Mushfiqur Rahim,46,"1,459","1,089",34,42.91,133.98,98,127,49,9,0,27.02,176.89
MD Gunathilaka,20,702,503,17,41.29,139.56,94,94,15,6,0,26.93,180.85
JC Buttler,53,"1,969","1,368",49,40.18,143.93,124,193,93,11,5,26.65,184.11
JM Bairstow,45,"1,714","1,148",42,40.81,149.3,114,169,81,13,2,26.24,190.11
T Kohler-Cadmore,44,"1,439","1,056",36,39.97,136.27,96,107,69,14,0,26.13,176.24
Shan Masood,44,"1,492","1,093",41,36.39,136.51,88,174,24,11,0,25.57,172.9
R Vasconcelos,15,431,370,14,30.79,116.49,78,52,4,2,0,25.37,147.28
